Code géographique,Salaire net horaire moyen en 2012 (€),Taux de pauvreté-Ensemble,Part Revenus du patrimoine
75101,24,"10,3","27,7"
75102,"21,9","15,8","18,2"
75103,"22,9","13,9",22
75104,23,"11,5",28
75105,"23,9","9,6","24,5"
75106,"30,1","8,6","38,8"
75107,34,"7,9","42,2"
75108,"30,9","9,4",35
75109,"23,6","12,1","20,2"
75110,"18,2","19,3","13,7"
75111,"18,6","16,6",15
75112,19,"14,2","15,9"
75113,"17,1","16,9","13,6"
75114,"19,6","12,5","19,3"
75115,"21,8","10,7","19,3"
75116,"31,5","10,2","38,5"
75117,"23,7","14,2","23,1"
75118,"16,9","23,9","12,8"
75119,"15,2","24,7","11,8"
75120,"15,9","22,3","11,2"
